# Multipole Expansion Model for Optical Coupling Strength
# 
# Parameters:
# a = 300 nm (Major axis)
# b = 180 nm (Minor axis)
# lambda = 1064 nm (Wavelength)
# V = 0.04 ×10⁻¹⁸ m³ (Volume)
# rho = 3500 kg/m³ (Density)
# I = 3.49e-30 kg·m² (Moment of inertia)
# L1 = 0.210 (Depolarization factor, major axis)
# L2 = 0.395 (Depolarization factor, minor axis)
# epsilon_r = 5.7 (Relative permittivity)
# C1 = 0.033 (Multipole expansion coefficient, 1st order)
# C2 = 0.012 (Multipole expansion coefficient, 2nd order)
#
# Columns:
# R_lambda: Distance between particles in units of wavelength (dimensionless)
# g_*mW_kHz: Coupling strength at different laser powers (in kHz)
#
# Note: Data generated for Fig. 1 in manuscript
R_lambda,g_600mW_kHz,g_800mW_kHz,g_1000mW_kHz
0.9939999999999953,104.83877690450076,121.05739213464925,135.34627899596208
0.9959999999999952,104.4646757651016,120.62541734757676,134.86331650173204
0.9979999999999953,104.07641466755847,120.17709204921205,134.3620735801438
0.9999999999999954,103.67409884864755,119.71253775651704,133.84268609129117
1.0019999999999953,103.25783511577079,119.23187780005651,133.30529192293727
1.0039999999999951,102.82773182907646,118.7352373033519,132.75003096743188
1.0059999999999953,102.38389888341104,118.22274316204155,132.17704509841172
1.0079999999999953,101.92644769010403,117.69452402284773,131.5864781472848
1.0099999999999951,101.45549115858957,117.15071026235474,130.97847587950378
1.0119999999999951,100.97114367786635,116.591433965601,130.3531859706309
1.0139999999999951,100.47352109779938,116.01682890448804,129.7107579821989
1.0159999999999954,99.96274071026671,115.42703051601049,129.05134333737107
1.0179999999999951,99.43892123015196,114.82217588030844,128.37509529640326
1.019999999999995,98.90218277618784,114.2024036985472,127.6821689319125
1.0219999999999951,98.3526468516521,113.56785427062708,126.972721103956
1.0239999999999951,97.79043632491863,112.91866947272544,126.24691043492223
1.0259999999999951,97.2156754098673,112.25499273467628,125.50489728424067
1.027999999999995,96.6284896461543,111.57696901718829,124.74684372291048
1.029999999999995,96.02900587934712,110.88474478890642,123.97291350785521
1.0319999999999951,95.41735224092622,110.17846800332015,123.18327205610474
1.033999999999995,94.79365812815605,109.45828807552047,122.3780864188092
1.035999999999995,94.15805418382874,108.72435585880976,121.5575252550881
1.037999999999995,93.51067227588366,107.97682362116859,120.72175880571905
1.039999999999995,92.85164547690525,107.2158450215819,119.87095886666978
1.041999999999995,92.18110804350184,106.44157508622752,119.00529876247643
1.0439999999999947,91.49919539556906,105.6541701845319,118.12495331947244
1.045999999999995,90.80604409544011,104.85378800509477,117.230098838872
